"";"TaxonUsageID";"LETTERCODE";"TaxonName";"AUTHOR";"SYNONYM";"TaxonConceptID";"TaxonConcept";"VernacularName";"taxonRank";"GRUPPE";"FAMILIE";"IsChildTaxonOfID";"IsChildTaxonOf";"NACHWEIS";"publishedInCitation";"HYBRID";"BEGRUEND";"EDITSTATUS"
"8740";20178;"AGRTCAP";"Agrostis capillaris";"L.";FALSE;20178;"Agrostis capillaris";"Rotes Straußgras";"SPE";"S";"Poaceae";61358;"Agrostis species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"270";465;"ANTXODO";"Anthoxanthum odoratum";"L. s. str.";FALSE;465;"Anthoxanthum odoratum";"Gewöhnliches Ruchgras";"SPE";"S";"Poaceae";463;"Anthoxanthum odoratum agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"7693";14151;"CAREPRA";"Carex praecox";"Schreb. s. l.";FALSE;14151;"Carex praecox";"Frühe Segge";"SPE";"S";"Cyperaceae";61338;"Carex species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"6083";12356;"EROPVER";"Erophila verna";"(L.) DC. s. l.";FALSE;12356;"Erophila verna";"Frühlings-Hungerblümchen";"SPE";"S";"Brassicaceae";60858;"Erophila species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1596";2598;"GALU#VE";"Galium verum agg.";NA;FALSE;2598;"Galium verum agg.";"Artengruppe Echtes Labkraut";"AGG";"S";"Rubiaceae";94733;"Galium verum agg. s. l.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;"Einfügen einer Zwischenebene";"Korrektur"
"3183";5108;"RUMETHY";"Rumex thyrsiflorus";"Fingerh.";FALSE;5108;"Rumex thyrsiflorus";"Straußblütiger Sauerampfer";"SPE";"S";"Polygonaceae";92799;"Rumex acetosa agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;"Einfügen einer Zwischenebene";"Korrektur"
"20";31;"ACHIMIL";"Achillea millefolium";"L.";FALSE;31;"Achillea millefolium";"Gewöhnliche Wiesen-Schafgarbe";"SPE";"S";"Asteraceae";27;"Achillea millefolium agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"14008";27914;"ELYMREP";"Agropyron repens";"(L.) P. Beauv.";TRUE;27778;"Elymus repens";NA;"SPE";"S";NA;NA;NA;"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"191";336;"ALOPPRA";"Alopecurus pratensis";"L.";FALSE;336;"Alopecurus pratensis";"Wiesen-Fuchsschwanzgras";"SPE";"S";"Poaceae";334;"Alopecurus pratensis agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2667";4366;"POA #PR";"Poa pratensis agg.";NA;FALSE;4366;"Poa pratensis agg.";"Artengruppe Wiesen-Rispengras";"AGG";"S";"Poaceae";61418;"Poa species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
