"";"TaxonUsageID";"LETTERCODE";"TaxonName";"AUTHOR";"SYNONYM";"TaxonConceptID";"TaxonConcept";"VernacularName";"taxonRank";"GRUPPE";"FAMILIE";"IsChildTaxonOfID";"IsChildTaxonOf";"NACHWEIS";"publishedInCitation";"HYBRID";"BEGRUEND";"EDITSTATUS"
"3914";6313;"VICILAT";"Vicia lathyroides";"L.";FALSE;6313;"Vicia lathyroides";"Platterbsen-Wicke";"SPE";"S";"Fabaceae";61048;"Vicia species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"3932";6341;"VICITET";"Vicia tetrasperma";"(L.) Schreb.";FALSE;6341;"Vicia tetrasperma";"Viersamige Wicke";"SPE";"S";"Fabaceae";6338;"Vicia tetrasperma agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1396";2264;"EUPHESU";"Euphorbia esula";"L. s. str.";FALSE;2264;"Euphorbia esula";"Esels-Wolfsmilch";"SPE";"S";"Euphorbiaceae";2263;"Euphorbia esula agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2159";3508;"LOTUCOR";"Lotus corniculatus";"L.";FALSE;3508;"Lotus corniculatus";"Gewöhnlicher Hornklee";"SPE";"S";"Fabaceae";3505;"Lotus corniculatus agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2666";4364;"POA PAL";"Poa palustris";"L.";FALSE;4364;"Poa palustris";"Sumpf-Rispengras";"SPE";"S";"Poaceae";61418;"Poa species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"4670";7434;"TARA/RU";"Taraxacum sect. Ruderalia";"Kirschner, H. Ollg. & Stepanek";FALSE;7434;"Taraxacum sect. Ruderalia";"Wiesen-Löwenzähne";"SEC";"S";"Asteraceae";93219;"Taraxacum sect. Alpina, Hamata et Ruderalia";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;"Einfügen einer Zwischenebene";"Korrektur"
"613";1008;"CALWPAL";"Caltha palustris";"L.";FALSE;1008;"Caltha palustris";"Sumpfdotterblume";"SPE";"S";"Ranunculaceae";61140;"Caltha species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"8446";15133;"CARDPRA";"Cardamine pratensis";"L. (s. l.)";FALSE;15133;"Cardamine pratensis";"Wiesen-Schaumkraut";"SPE";"S";"Brassicaceae";1105;"Cardamine pratensis agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"746";1230;"CAREACU";"Carex gracilis";"Curtis";TRUE;20989;"Carex acuta";NA;"SPE";"S";NA;NA;NA;"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"803";1300;"CAREVES";"Carex vesicaria";"L.";FALSE;1300;"Carex vesicaria";"Blasen-Segge";"SPE";"S";"Cyperaceae";61338;"Carex species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1577";2564;"GALUPAL";"Galium palustre";"L. s. l.";FALSE;2564;"Galium palustre";"Sumpf-Labkraut";"SPE";"S";"Rubiaceae";61188;"Galium species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1955";3151;"JUNUEFF";"Juncus effusus";"L.";FALSE;3151;"Juncus effusus";"Flatter-Binse";"SPE";"S";"Juncaceae";61445;"Juncus species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2191";3552;"SILEFLO";"Lychnis flos-cuculi";"L.";TRUE;24031;"Silene flos-cuculi";NA;"SPE";"S";"Caryophyllaceae";NA;NA;"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2575";4206;"PHALARU";"Phalaris arundinacea";"L.";FALSE;4206;"Phalaris arundinacea";"Rohr-Glanzgras";"SPE";"S";"Poaceae";61415;"Phalaris species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"13303";26611;"POA TRI";"Poa trivialis";"L. s. l.";FALSE;26611;"Poa trivialis";"Gewöhnliches Rispengras";"SPE";"S";"Poaceae";61418;"Poa species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2765";4489;"POTEANS";"Potentilla anserina";"L.";FALSE;4489;"Potentilla anserina";"Gänse-Fingerkraut";"SPE";"S";"Rosaceae";61175;"Potentilla species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2915";4727;"RANCFLA";"Ranunculus flammula";"L.";FALSE;4727;"Ranunculus flammula";"Brennender Hahnenfuß";"SPE";"S";"Ranunculaceae";4726;"Ranunculus flammula agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2938";4768;"RANCREP";"Ranunculus repens";"L.";FALSE;4768;"Ranunculus repens";"Kriechender Hahnenfuß";"SPE";"S";"Ranunculaceae";61151;"Ranunculus species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"3157";5073;"RUMEACE";"Rumex acetosa";"L. , nom. cons. prop. (vide Jonsell & Nilsson 1996: Taxon 45: 132)";FALSE;5073;"Rumex acetosa";"Großer Sauerampfer";"SPE";"S";"Polygonaceae";92799;"Rumex acetosa agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;"Einfügen einer Zwischenebene";"Korrektur"
"3491";5656;"SIUMLAT";"Sium latifolium";"L.";FALSE;5656;"Sium latifolium";"Großer Merk";"SPE";"S";"Apiaceae";61296;"Sium species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"5431";11573;"STELPAU";"Stellaria palustris";"Ehrh. ex Hoffm.";FALSE;11573;"Stellaria palustris";"Sumpf-Sternmiere";"SPE";"S";"Caryophyllaceae";60694;"Stellaria species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"3746";6063;"TRIFREP";"Trifolium repens";"L.";FALSE;6063;"Trifolium repens";"Weiß-Klee";"SPE";"S";"Fabaceae";61052;"Trifolium species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"3907";6302;"VICICRA";"Vicia cracca";"L. s. str.";FALSE;6302;"Vicia cracca";"Gewöhnliche Vogel-Wicke";"SPE";"S";"Fabaceae";6301;"Vicia cracca agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"84";129;"AGRTSTO";"Agrostis stolonifera";"L.";FALSE;129;"Agrostis stolonifera";"Weißes Straußgras";"SPE";"S";"Poaceae";127;"Agrostis stolonifera agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"76";121;"AGRTCAN";"Agrostis canina";"L.";FALSE;121;"Agrostis canina";"Sumpf-Straußgras";"SPE";"S";"Poaceae";120;"Agrostis canina agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"955";1557;"CIRSARV";"Cirsium arvense";"(L.) Scop.";FALSE;1557;"Cirsium arvense";"Acker-Kratzdistel";"SPE";"S";"Asteraceae";60795;"Cirsium species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1479";2412;"FESTPRA";"Festuca pratensis";"Huds. s. l.";FALSE;2412;"Festuca pratensis";"Wiesen-Schwingel";"SPE";"S";"Poaceae";61391;"Festuca species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1846";2969;"HOLCLAN";"Holcus lanatus";"L.";FALSE;2969;"Holcus lanatus";"Wolliges Honiggras";"SPE";"S";"Poaceae";61395;"Holcus species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1678";2721;"GLYCFLU";"Glyceria fluitans";"(L.) R. Br.";FALSE;2721;"Glyceria fluitans";"Flutender Schwaden";"SPE";"S";"Poaceae";2719;"Glyceria fluitans agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1682";2725;"GLYCMAX";"Glyceria maxima";"(Hartm.) Holmb.";FALSE;2725;"Glyceria maxima";"Großer Schwaden";"SPE";"S";"Poaceae";61513;"Glyceria species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2994";4869;"RORISYL";"Rorippa sylvestris";"(L.) Besser";FALSE;4869;"Rorippa sylvestris";"Wilde Sumpfkresse";"SPE";"S";"Brassicaceae";4867;"Rorippa sylvestris agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"187";331;"ALOPGEN";"Alopecurus geniculatus";"L.";FALSE;331;"Alopecurus geniculatus";"Knick-Fuchsschwanzgras";"SPE";"S";"Poaceae";61360;"Alopecurus species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"806";1303;"CAREVUL";"Carex vulpina";"L.";FALSE;1303;"Carex vulpina";"Fuchs-Segge";"SPE";"S";"Cyperaceae";1301;"Carex vulpina agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"11092";23150;"PLAJM-I";"Plantago intermedia";"Gilib.";TRUE;4322;"Plantago major subsp. intermedia";NA;"SPE";"S";"Plantaginaceae";NA;NA;"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2793";4533;"POTEREP";"Potentilla reptans";"L.";FALSE;4533;"Potentilla reptans";"Kriechendes Fingerkraut";"SPE";"S";"Rosaceae";61175;"Potentilla species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2986";4857;"RORIAMP";"Rorippa amphibia";"(L.) Besser";FALSE;4857;"Rorippa amphibia";"Wasser-Sumpfkresse";"SPE";"S";"Brassicaceae";60882;"Rorippa species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1274";2094;"ELEOUNI";"Eleocharis uniglumis";"(Link) Schult.";FALSE;2094;"Eleocharis uniglumis";"Einspelzige Sumpfbinse";"SPE";"S";"Cyperaceae";2087;"Eleocharis palustris agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"2048";3313;"LATYPRA";"Lathyrus pratensis";"L.";FALSE;3313;"Lathyrus pratensis";"Wiesen-Platterbse";"SPE";"S";"Fabaceae";61045;"Lathyrus species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"1161";1904;"DESCCES";"Deschampsia cespitosa";"(L.) P. Beauv. s. str.";FALSE;1904;"Deschampsia cespitosa";"Rasen-Schmiele";"SPE";"S";"Poaceae";1903;"Deschampsia cespitosa agg.";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"726";1201;"CAREDIT";"Carex disticha";"Huds.";FALSE;1201;"Carex disticha";"Zweizeilige Segge";"SPE";"S";"Cyperaceae";61338;"Carex species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"9643";21330;"CIRSVUL";"Cirsium lanceolatum";"(L.) Scop. non Hill, nom. illeg.";TRUE;1579;"Cirsium vulgare";NA;"SPE";"S";NA;NA;NA;"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"13319";26629;"SYMHOFF";"Symphytum officinale";"L. s. l.";FALSE;26629;"Symphytum officinale";"Arznei-Beinwell";"SPE";"S";"Boraginaceae";60640;"Symphytum species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
"975";1597;"CNIDDUB";"Cnidium dubium";"(Schkuhr) Thell.";FALSE;1597;"Cnidium dubium";"Sumpf-Brenndolde";"SPE";"S";"Apiaceae";61267;"Cnidium species";"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";NA;NA;"BfN"
