TaxonUsageID,LETTERCODE,TaxonName,AUTHOR,SYNONYM,TaxonConceptID,TaxonConcept,VernacularName,TaxonRank,GRUPPE,FAMILIE,IsChildTaxonOfID,IsChildTaxonOf,NACHWEIS,AccordingTo,HYBRID,BEGRUEND,EDITSTATUS
20178,AGRTCAP,Agrostis capillaris,L.,FALSE,20178,Agrostis capillaris,NA,SPE,S,Poaceae,61358,Agrostis species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
465,ANTXODO,Anthoxanthum odoratum,L. s. str.,FALSE,465,Anthoxanthum odoratum,NA,SPE,S,Poaceae,463,Anthoxanthum odoratum agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
14151,CAREPRA,Carex praecox,Schreb. s. l.,FALSE,14151,Carex praecox,NA,SPE,S,Cyperaceae,61338,Carex species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
12356,EROPVER,Erophila verna,(L.) DC. s. l.,FALSE,12356,Erophila verna,NA,SPE,S,Brassicaceae,60858,Erophila species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
2598,GALU#VE,Galium verum agg.,NA,FALSE,2598,Galium verum agg.,Artengruppe Echtes Labkraut,AGG,S,Rubiaceae,94733,Galium verum agg. s. l.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,Einfügen einer Zwischenebene,Korrektur
5108,RUMETHY,Rumex thyrsiflorus,Fingerh.,FALSE,5108,Rumex thyrsiflorus,NA,SPE,S,Polygonaceae,92799,Rumex acetosa agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,Einfügen einer Zwischenebene,Korrektur
31,ACHIMIL,Achillea millefolium,L.,FALSE,31,Achillea millefolium,NA,SPE,S,Asteraceae,27,Achillea millefolium agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
27914,ELYMREP,Agropyron repens,(L.) P. Beauv.,TRUE,27778,Elymus repens,NA,SPE,S,NA,NA,NA,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
336,ALOPPRA,Alopecurus pratensis,L.,FALSE,336,Alopecurus pratensis,Wiesen-Fuchsschwanzgras,SPE,S,Poaceae,334,Alopecurus pratensis agg.,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
4366,POA #PR,Poa pratensis agg.,NA,FALSE,4366,Poa pratensis agg.,Artengruppe Wiesen-Rispengras,AGG,S,Poaceae,61418,Poa species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
6313,VICILAT,Vicia lathyroides,L.,FALSE,6313,Vicia lathyroides,Platterbsen-Wicke,SPE,S,Fabaceae,61048,Vicia species,BfN(Wisskirchen u. Haeupler 1998),BfN(Wisskirchen u. Haeupler 1998),NA,NA,BfN
